original_file,new_stem,brand,slot,scene
image_001_1e9e0a090138164e.png,chidashi_desert_camel_packshot,赤大师,top1,沙漠骆驼产品图
image_002_1ddb4b042bcacf11.png,chidashi_altay_pasture_banner,赤大师,top1_detail,阿勒泰牧场横幅
image_003_66817a56c4a49e3e.png,dishesi_tea_table_packshot,迪奢思,top2,茶桌产品图
image_004_1a7796cd141ca623.png,liutuo_bookshelf_packshot,六驼,top3,书架产品图
image_005_63888ee7e9752e6d.png,chidashi_breakfast_table,赤大师,top1,早餐桌产品图
image_006_0d39238d292ac855.png,neutral_camel_milk_feature_infographic,中性素材,top1_detail,驼乳特点信息图
image_007_e6004f696bd2a7b1.png,liutuo_children_outdoor_play,六驼,top3,儿童户外玩耍
image_008_590f8b7764a7f5cb.png,chidashi_office_double_packshot,赤大师,top1,办公室双罐产品图
image_009_fe69608adc2d27e6.png,neutral_camel_milk_benefits_infographic,中性素材,top1_detail,驼乳特点信息图
image_010_0c255acebf42d26e.png,dishesi_gift_box_packshot,迪奢思,top2,礼盒产品图
image_011_8ce088b1bb450a2f.png,liutuo_girl_study_desk,六驼,top3,女孩书桌学习
image_012_f758205363a38b17.png,chidashi_traditional_room_double_packshot,赤大师,top1,传统室内双罐产品图
image_013_4433e40c3f14aab2.png,chidashi_low_temperature_process_infographic,赤大师,top1_detail,低温工艺信息图
image_014_041a684626d9c631.png,chidashi_fruit_breakfast_packshot,赤大师,top1,水果早餐产品图
image_015_13af7ace8c8e6c96.png,neutral_nutrition_absorption_infographic,中性素材,top1_detail,营养吸收信息图
image_016_37c6b8f203814de0.png,dishesi_pasture_packshot,迪奢思,top2,牧场产品图
image_017_44f1b4e7d7f6c2ef.png,liutuo_boy_online_learning,六驼,top3,男孩在线学习
image_018_f489e12e3733d341.png,chidashi_picnic_packshot,赤大师,top1,野餐产品图
image_019_b528fc87ac6ecc39.png,neutral_digestive_feature_infographic,中性素材,top1_detail,消化特点信息图
image_020_22efe319785b7a8e.png,dishesi_senior_woman_drinking,迪奢思,top2,老年女性饮用场景
image_021_35744f9c9f000394.png,liutuo_learning_desk,六驼,top3,学习桌产品图
image_022_404d5605b08741be.png,chidashi_fitness_scene,赤大师,top1,运动健身场景
image_023_26287876980e6b02.png,neutral_source_process_feature_infographic,中性素材,top1_detail,奶源工艺特点信息图
image_024_97175e943077df71.png,dishesi_afternoon_tea_packshot,迪奢思,top2,下午茶产品图
image_025_df403b1ae2759cad.png,liutuo_living_room_packshot,六驼,top3,客厅产品图
image_026_9c65b5a4c656b729.png,chidashi_snow_mountain_packshot,赤大师,top1,雪山产品图
image_027_f848a6e8658680df.png,chidashi_altay_pasture_landscape,赤大师,top1_detail,阿勒泰牧场风景
image_028_6a150f719dfd26d0.png,dishesi_pasture_milk_packshot,迪奢思,top2,牧场牛奶产品图
image_029_e045ad0a94da39d9.png,liutuo_child_toy_scene,六驼,top3,儿童玩具场景
image_030_e8cf8d9ca4bbe111.png,chidashi_balcony_afternoon_tea,赤大师,top1,阳台下午茶
image_031_ac85b6d3b075753f.png,chidashi_altay_pasture_infographic,赤大师,top1_detail,阿勒泰牧场信息图
image_032_26c26ae9777c4e76.png,dishesi_living_room_gift_box,迪奢思,top2,客厅礼盒产品图
image_033_cd84c60ce6ef8839.png,liutuo_breakfast_packshot,六驼,top3,早餐产品图
image_034_c681dfaae2caef15.png,neutral_calcium_content_infographic,中性素材,top1_detail,钙含量信息图
image_035_f0a8487dfc423444.png,chidashi_clean_double_packshot,赤大师,top1,纯白背景双罐产品图
image_036_635e7fcc45735d7b.png,neutral_camel_milk_feature_card,中性素材,top1_detail,驼乳特点卡片
image_037_0450c6dd69288888.png,liutuo_bedtime_reading,六驼,top3,睡前阅读场景
image_038_309c31a128756b3e.png,chidashi_kitchen_packshot,赤大师,top1,厨房产品图
image_039_d81119de16226d86.png,neutral_nutrition_function_table,中性素材,top1_detail,营养功能表
image_040_b6239975d309fe7b.png,liutuo_children_blocks_scene,六驼,top3,儿童积木场景
image_041_fd54f9b2376af3a7.png,dishesi_pasture_blueberry_packshot,迪奢思,top2,牧场蓝莓产品图
image_042_267305a0435324d4.png,liutuo_bedroom_study,六驼,top3,卧室学习场景
image_043_b7ca7237b32b8eda.png,neutral_camel_milk_powder_still_life,中性素材,top1_detail,驼奶粉静物
image_044_51371b2c0d04b5de.png,chidashi_desert_camel_scene,赤大师,top1,沙漠骆驼场景
image_045_98a16c2a7dc77fd8.png,dishesi_outdoor_gift_set,迪奢思,top2,户外礼盒产品图
image_046_6462fec7ceb9436d.png,liutuo_parent_child_reading,六驼,top3,亲子阅读场景
image_047_d062238a412c18f6.png,chidashi_senior_home_gift_box,赤大师,top1,老人居家礼盒
image_048_66cd9a948067a2b1.png,chidashi_altay_grazing_banner,赤大师,top1_detail,阿勒泰放牧横幅
image_049_fa68be7d7e623407.png,dishesi_balcony_packshot,迪奢思,top2,阳台产品图
image_050_d8c29c89b2022354.png,liutuo_sunny_balcony_packshot,六驼,top3,阳光阳台产品图
image_051_1d16dcbeee063477.png,chidashi_camping_gift_box,赤大师,top1,露营礼盒产品图
image_052_6ab7fb3cf403d69e.png,neutral_nutrition_function_icons,中性素材,top1_detail,营养功能图标
image_053_bedc693da0daef6d.png,dishesi_window_dried_grass_packshot,迪奢思,top2,窗边干草产品图
image_054_868223fed0c5e740.png,liutuo_family_blocks_scene,六驼,top3,家庭积木场景
image_055_5fa0b804b0723360.png,chidashi_kitchen_milk_packshot,赤大师,top1,厨房牛奶产品图
image_056_5183c1c9a1e9d108.png,dishesi_traditional_tea_packshot,迪奢思,top2,传统茶桌产品图
image_057_9d5da08c6298f2f2.png,chidashi_pasture_double_packshot,赤大师,top1,牧场双罐产品图
image_058_1eaa2dce73a141c6.png,dishesi_breakfast_eggs_packshot,迪奢思,top2,鸡蛋早餐产品图
image_059_f3292d2c1b9756fa.png,chidashi_family_meal,赤大师,top1,家庭用餐场景
image_060_91a30cd29752b57a.png,neutral_milk_protein_infographic,中性素材,top1_detail,乳蛋白信息图
image_061_6050bf151311faff.png,dishesi_picnic_packshot,迪奢思,top2,野餐产品图
image_062_7e9cadc7550c4eb0.png,liutuo_child_blocks_scene,六驼,top3,儿童积木场景
image_063_b3fccb35a498f920.png,neutral_milk_glass_still_life,中性素材,top1_detail,牛奶杯静物
image_064_814ba4b6243bc69d.png,neutral_product_feature_infographic,中性素材,top1_detail,产品特点信息图
image_065_809a970b853234c1.png,dishesi_double_can_breakfast,迪奢思,top2,双罐早餐产品图
image_066_e8358c9c1451b1da.png,chidashi_desert_packshot,赤大师,top1,沙漠产品图
image_067_bd5eaa5122e40665.png,neutral_camel_nutrition_infographic,中性素材,top1_detail,骆驼营养信息图
image_068_047ef4e2853fb12d.png,chidashi_ethnic_milk_pouring,赤大师,top1,民族场景冲调驼奶
image_069_146d7fa1785cdd7d.png,neutral_milk_powder_bowls,中性素材,top1_detail,奶粉碗静物
image_070_a152651edd60a400.png,chidashi_office_packshot,赤大师,top1,办公室产品图
image_071_92a31eff149b453f.png,chidashi_altay_pasture_feature_card,赤大师,top1_detail,阿勒泰牧场特点卡片
image_072_ca75f038daebe2df.png,dishesi_night_reading_packshot,迪奢思,top2,夜间阅读产品图
image_073_ac1ec118c5d7b2a6.png,liutuo_kitchen_packshot,六驼,top3,厨房产品图
image_074_b29182cb332a0849.png,chidashi_camping_fruit_packshot,赤大师,top1,露营水果产品图
image_075_6453014e42c7baa3.png,chidashi_low_temperature_process_card,赤大师,top1_detail,低温工艺卡片
image_076_ab4b4105947ef353.png,dishesi_double_can_kitchen,迪奢思,top2,厨房双罐产品图
image_077_bd2a793f22092f70.png,liutuo_spring_picnic,六驼,top3,春日野餐场景
image_078_fff5d19ce52d5e4f.png,chidashi_senior_park_scene,赤大师,top1,老人公园场景
image_079_b615f68393643d6e.jpeg,neutral_calcium_vitamin_infographic,中性素材,top1_detail,钙与维生素信息图
image_080_91a5f4a22b0e417d.png,liutuo_schoolgirl_classroom,六驼,top3,女学生教室场景
image_081_56793b9724d68dae.png,chidashi_clean_packshot,赤大师,top1,纯白背景产品图
image_082_1b96153ceaad1ea3.png,neutral_product_feature_card,中性素材,top1_detail,产品特点卡片
image_083_6a2ffc2b9527fd5a.png,dishesi_study_desk_packshot,迪奢思,top2,书桌产品图
image_084_5e76e0373e117f2b.png,liutuo_breakfast_table_packshot,六驼,top3,早餐桌产品图
