"file","brand","slot","scene","source","sha256_12"
"neutral_calcium_content_infographic_12153459b2e8.png","中性素材","neutral","钙含量信息图","image_034_c681dfaae2caef15.png","12153459b2e8"
"neutral_calcium_vitamin_infographic_053951901364.jpeg","中性素材","neutral","钙与维生素信息图","image_079_b615f68393643d6e.jpeg","053951901364"
"neutral_camel_milk_benefits_infographic_4ca95bcb3f5e.png","中性素材","neutral","驼乳特点信息图","image_009_fe69608adc2d27e6.png","4ca95bcb3f5e"
"neutral_camel_milk_feature_card_682818b8c7a3.png","中性素材","neutral","驼乳特点卡片","image_036_635e7fcc45735d7b.png","682818b8c7a3"
"neutral_camel_milk_feature_infographic_e3a7c1055af6.png","中性素材","neutral","驼乳特点信息图","image_006_0d39238d292ac855.png","e3a7c1055af6"
"neutral_camel_milk_powder_still_life_c8050876a2d2.png","中性素材","neutral","驼奶粉静物","image_043_b7ca7237b32b8eda.png","c8050876a2d2"
"neutral_camel_nutrition_infographic_f0261ad907d8.png","中性素材","neutral","骆驼营养信息图","image_067_bd5eaa5122e40665.png","f0261ad907d8"
"neutral_digestive_feature_infographic_0454eb2d9d33.png","中性素材","neutral","消化特点信息图","image_019_b528fc87ac6ecc39.png","0454eb2d9d33"
"neutral_milk_glass_still_life_d31250a8b67b.png","中性素材","neutral","牛奶杯静物","image_063_b3fccb35a498f920.png","d31250a8b67b"
"neutral_milk_powder_bowls_d5f0874ec778.png","中性素材","neutral","奶粉碗静物","image_069_146d7fa1785cdd7d.png","d5f0874ec778"
"neutral_milk_protein_infographic_9441c05b4249.png","中性素材","neutral","乳蛋白信息图","image_060_91a30cd29752b57a.png","9441c05b4249"
"neutral_nutrition_absorption_infographic_d67a785f8429.png","中性素材","neutral","营养吸收信息图","image_015_13af7ace8c8e6c96.png","d67a785f8429"
"neutral_nutrition_function_icons_621b5e8f630a.png","中性素材","neutral","营养功能图标","image_052_6ab7fb3cf403d69e.png","621b5e8f630a"
"neutral_nutrition_function_table_86b8e24e8969.png","中性素材","neutral","营养功能表","image_039_d81119de16226d86.png","86b8e24e8969"
"neutral_product_feature_card_93a69ea482b1.png","中性素材","neutral","产品特点卡片","image_082_1b96153ceaad1ea3.png","93a69ea482b1"
"neutral_product_feature_infographic_7272d95a624f.png","中性素材","neutral","产品特点信息图","image_064_814ba4b6243bc69d.png","7272d95a624f"
"neutral_source_process_feature_infographic_1ffe26fda04d.png","中性素材","neutral","奶源工艺特点信息图","image_023_26287876980e6b02.png","1ffe26fda04d"
"chidashi_altay_grazing_banner_13f7f69e01dc.png","赤大师","top1","阿勒泰放牧横幅","image_048_66cd9a948067a2b1.png","13f7f69e01dc"
"chidashi_altay_pasture_banner_da769c4a776d.png","赤大师","top1","阿勒泰牧场横幅","image_002_1ddb4b042bcacf11.png","da769c4a776d"
"chidashi_altay_pasture_feature_card_6b38d8aa4174.png","赤大师","top1","阿勒泰牧场特点卡片","image_071_92a31eff149b453f.png","6b38d8aa4174"
"chidashi_altay_pasture_infographic_320b27a785ea.png","赤大师","top1","阿勒泰牧场信息图","image_031_ac85b6d3b075753f.png","320b27a785ea"
"chidashi_altay_pasture_landscape_afae8f6dd969.png","赤大师","top1","阿勒泰牧场风景","image_027_f848a6e8658680df.png","afae8f6dd969"
"chidashi_balcony_afternoon_tea_caca33206a75.png","赤大师","top1","阳台下午茶","image_030_e8cf8d9ca4bbe111.png","caca33206a75"
"chidashi_breakfast_table_b0bfce3da0fc.png","赤大师","top1","早餐桌产品图","image_005_63888ee7e9752e6d.png","b0bfce3da0fc"
"chidashi_camel_pasture_panorama_01677d878635.png","赤大师","top1","camel pasture panorama","赤大师（1）\微信图片_20260512145548_13615_3.png","01677d878635"
"chidashi_camping_fruit_packshot_1da48b621538.png","赤大师","top1","露营水果产品图","image_074_b29182cb332a0849.png","1da48b621538"
"chidashi_camping_gift_box_13562f68af41.png","赤大师","top1","露营礼盒产品图","image_051_1d16dcbeee063477.png","13562f68af41"
"chidashi_clean_double_packshot_518d23b94310.png","赤大师","top1","纯白背景双罐产品图","image_035_f0a8487dfc423444.png","518d23b94310"
